"sid","entry","irt","fpatchnum","fpatchitem","fitemsfromend","flastitem","meanirt","catitem"
"1",57,"wolf",538,1,1,1,1,178.805555555556,1
"2",57,"beetle",154,2,1,2,0,178.805555555556,2
"3",57,"butterfly",116,2,2,1,1,178.805555555556,3
"4",57,"coral",92,3,1,1,1,178.805555555556,4
"5",57,"ant",97,4,1,1,1,178.805555555556,5
"6",57,"camel",229,5,1,1,1,178.805555555556,6
"7",57,"owl",139,6,1,1,1,178.805555555556,7
"8",57,"fly",95,7,1,1,1,178.805555555556,8
"9",57,"quail",105,8,1,1,1,178.805555555556,9
"10",57,"chick",143,9,1,1,1,178.805555555556,10
"11",57,"elephant",112,10,1,1,1,178.805555555556,11
"12",57,"hare",879,11,1,1,1,178.805555555556,12
"13",57,"cobra",292,12,1,1,1,178.805555555556,13
"14",57,"tick",236,13,1,1,1,178.805555555556,14
"15",57,"porpoise",218,14,1,1,1,178.805555555556,15
"16",57,"insect",260,15,1,1,1,178.805555555556,16
"17",57,"lamb",120,16,1,1,1,178.805555555556,17
"18",57,"squirrel",121,17,1,1,1,178.805555555556,18
"19",57,"shark",262,18,1,1,1,178.805555555556,19
"20",57,"crow",229,19,1,1,1,178.805555555556,20
"21",57,"doe",101,20,1,1,1,178.805555555556,21
"22",57,"cat",147,21,1,1,1,178.805555555556,22
"23",57,"deer",152,22,1,1,1,178.805555555556,23
"24",57,"calf",132,23,1,1,1,178.805555555556,24
"25",57,"crab",172,24,1,1,1,178.805555555556,25
"26",57,"aardvark",108,25,1,1,1,178.805555555556,26
"27",57,"buck",99,26,1,1,1,178.805555555556,27
"28",57,"donkey",83,27,1,1,1,178.805555555556,28
"29",57,"cobra",126,28,1,1,1,178.805555555556,29
"30",57,"colt",117,29,1,1,1,178.805555555556,30
"31",57,"hare",102,30,1,1,1,178.805555555556,31
"32",57,"beaver",116,31,1,1,1,178.805555555556,32
"33",57,"turkey",145,32,1,1,1,178.805555555556,33
"34",57,"buffalo",113,33,1,1,1,178.805555555556,34
"35",57,"hen",107,34,1,1,1,178.805555555556,35
"36",57,"porcupine",180,35,1,1,1,178.805555555556,36
"37",132,"mink",401,1,1,1,1,154.194444444444,1
"38",132,"mule",275,2,1,1,1,154.194444444444,2
"39",132,"squid",141,3,1,1,1,154.194444444444,3
"40",132,"moose",116,4,1,1,1,154.194444444444,4
"41",132,"dove",94,5,1,1,1,154.194444444444,5
"42",132,"caterpillar",115,6,1,2,0,154.194444444444,6
"43",132,"butterfly",99,6,2,1,1,154.194444444444,7
"44",132,"quail",230,7,1,1,1,154.194444444444,8
"45",132,"skunk",163,8,1,1,1,154.194444444444,9
"46",132,"bug",91,9,1,1,1,154.194444444444,10
"47",132,"trout",237,10,1,1,1,154.194444444444,11
"48",132,"raccoon",171,11,1,1,1,154.194444444444,12
"49",132,"bass",126,12,1,1,1,154.194444444444,13
"50",132,"grasshopper",117,13,1,1,1,154.194444444444,14
"51",132,"pike",79,14,1,1,1,154.194444444444,15
"52",132,"tortoise",122,15,1,2,0,154.194444444444,16
"53",132,"toad",95,15,2,1,1,154.194444444444,17
"54",132,"cougar",261,16,1,1,1,154.194444444444,18
"55",132,"hawk",124,17,1,1,1,154.194444444444,19
"56",132,"mule",136,18,1,1,1,154.194444444444,20
"57",132,"moose",115,19,1,1,1,154.194444444444,21
"58",132,"cattle",101,20,1,1,1,154.194444444444,22
"59",132,"puppy",108,21,1,1,1,154.194444444444,23
"60",132,"fly",120,22,1,1,1,154.194444444444,24
"61",132,"chicken",147,23,1,1,1,154.194444444444,25
"62",132,"dolphin",243,24,1,2,0,154.194444444444,26
"63",132,"squid",202,24,2,1,1,154.194444444444,27
"64",132,"stag",376,25,1,1,1,154.194444444444,28
"65",132,"bear",89,26,1,1,1,154.194444444444,29
"66",132,"cow",128,27,1,1,1,154.194444444444,30
"67",132,"elk",159,28,1,2,0,154.194444444444,31
"68",132,"bison",84,28,2,1,1,154.194444444444,32
"69",132,"hog",99,29,1,1,1,154.194444444444,33
"70",132,"monkey",109,30,1,1,1,154.194444444444,34
"71",132,"spider",127,31,1,1,1,154.194444444444,35
"72",132,"pelican",151,32,1,1,1,154.194444444444,36
"73",140,"snail",345,1,1,1,1,143.861111111111,1
"74",140,"donkey",166,2,1,1,1,143.861111111111,2
"75",140,"crab",112,3,1,2,0,143.861111111111,3
"76",140,"swan",110,3,2,1,1,143.861111111111,4
"77",140,"mink",119,4,1,1,1,143.861111111111,5
"78",140,"elephant",105,5,1,1,1,143.861111111111,6
"79",140,"ape",110,6,1,1,1,143.861111111111,7
"80",140,"fly",147,7,1,1,1,143.861111111111,8
"81",140,"hare",133,8,1,1,1,143.861111111111,9
"82",140,"stag",125,9,1,2,0,143.861111111111,10
"83",140,"deer",97,9,2,1,1,143.861111111111,11
"84",140,"snake",115,10,1,1,1,143.861111111111,12
"85",140,"clam",146,11,1,1,1,143.861111111111,13
"86",140,"mammal",142,12,1,1,1,143.861111111111,14
"87",140,"stallion",195,13,1,1,1,143.861111111111,15
"88",140,"mole",151,14,1,1,1,143.861111111111,16
"89",140,"trout",121,15,1,1,1,143.861111111111,17
"90",140,"ox",217,16,1,1,1,143.861111111111,18
"91",140,"bull",284,17,1,1,1,143.861111111111,19
"92",140,"seal",125,18,1,2,0,143.861111111111,20
"93",140,"swan",137,18,2,1,1,143.861111111111,21
"94",140,"bison",99,19,1,1,1,143.861111111111,22
"95",140,"ewe",142,20,1,1,1,143.861111111111,23
"96",140,"bass",126,21,1,1,1,143.861111111111,24
"97",140,"lamb",121,22,1,1,1,143.861111111111,25
"98",140,"chimpanzee",130,23,1,1,1,143.861111111111,26
"99",140,"grizzly",136,24,1,1,1,143.861111111111,27
"100",140,"hornet",175,25,1,1,1,143.861111111111,28
"101",140,"eagle",113,26,1,1,1,143.861111111111,29
"102",140,"whale",131,27,1,2,0,143.861111111111,30
"103",140,"scallop",140,27,2,1,1,143.861111111111,31
"104",140,"bluejay",165,28,1,1,1,143.861111111111,32
"105",140,"squid",117,29,1,1,1,143.861111111111,33
"106",140,"walrus",131,30,1,1,1,143.861111111111,34
"107",140,"seagull",134,31,1,1,1,143.861111111111,35
"108",140,"coral",117,32,1,1,1,143.861111111111,36
"109",27,"clam",401,1,1,1,1,141.916666666667,1
"110",27,"lizard",122,2,1,1,1,141.916666666667,2
"111",27,"pike",183,3,1,1,1,141.916666666667,3
"112",27,"mink",90,4,1,1,1,141.916666666667,4
"113",27,"stallion",114,5,1,1,1,141.916666666667,5
"114",27,"mammal",164,6,1,1,1,141.916666666667,6
"115",27,"canary",226,7,1,1,1,141.916666666667,7
"116",27,"crane",126,8,1,1,1,141.916666666667,8
"117",27,"gull",92,9,1,1,1,141.916666666667,9
"118",27,"sheep",139,10,1,1,1,141.916666666667,10
"119",27,"chipmunk",332,11,1,1,1,141.916666666667,11
"120",27,"beetle",111,12,1,1,1,141.916666666667,12
"121",27,"quail",83,13,1,1,1,141.916666666667,13
"122",27,"flea",124,14,1,1,1,141.916666666667,14
"123",27,"aardvark",144,15,1,1,1,141.916666666667,15
"124",27,"kangaroo",115,16,1,1,1,141.916666666667,16
"125",27,"barracuda",114,17,1,1,1,141.916666666667,17
"126",27,"scallop",121,18,1,1,1,141.916666666667,18
"127",27,"pig",123,19,1,2,0,141.916666666667,19
"128",27,"lamb",83,19,2,1,1,141.916666666667,20
"129",27,"alligator",82,20,1,1,1,141.916666666667,21
"130",27,"spider",109,21,1,2,0,141.916666666667,22
"131",27,"pony",229,21,2,1,1,141.916666666667,23
"132",27,"turtle",219,22,1,1,1,141.916666666667,24
"133",27,"deer",128,23,1,1,1,141.916666666667,25
"134",27,"mammal",94,24,1,1,1,141.916666666667,26
"135",27,"dolphin",83,25,1,1,1,141.916666666667,27
"136",27,"chicken",111,26,1,1,1,141.916666666667,28
"137",27,"anteater",165,27,1,1,1,141.916666666667,29
"138",27,"kiwi",87,28,1,1,1,141.916666666667,30
"139",27,"oyster",119,29,1,1,1,141.916666666667,31
"140",27,"pike",145,30,1,1,1,141.916666666667,32
"141",27,"cougar",115,31,1,1,1,141.916666666667,33
"142",27,"seagull",137,32,1,1,1,141.916666666667,34
"143",27,"bass",98,33,1,1,1,141.916666666667,35
"144",27,"skunk",181,34,1,1,1,141.916666666667,36
"145",50,"cardinal",255,1,1,1,1,155.833333333333,1
"146",50,"rabbit",152,2,1,1,1,155.833333333333,2
"147",50,"crane",98,3,1,1,1,155.833333333333,3
"148",50,"seal",123,4,1,1,1,155.833333333333,4
"149",50,"bee",102,5,1,1,1,155.833333333333,5
"150",50,"lizard",241,6,1,1,1,155.833333333333,6
"151",50,"walrus",196,7,1,1,1,155.833333333333,7
