"sid","entry","irt","fpatchnum","fpatchitem","fitemsfromend","flastitem","meanirt","catitem"
"1",91,"dog",88,1,1,2,0,158.783783783784,1
"2",91,"cat",154,1,2,1,1,158.783783783784,2
"3",91,"worm",168,2,1,1,1,158.783783783784,3
"4",91,"fish",200,3,1,1,1,158.783783783784,4
"5",91,"moth",136,4,1,2,0,158.783783783784,5
"6",91,"butterfly",137,4,2,1,1,158.783783783784,6
"7",91,"spider",220,5,1,1,1,158.783783783784,7
"8",91,"insect",168,6,1,2,0,158.783783783784,8
"9",91,"bug",160,6,2,1,1,158.783783783784,9
"10",91,"bear",198,7,1,1,1,158.783783783784,10
"11",91,"tortoise",171,8,1,2,0,158.783783783784,11
"12",91,"turtle",125,8,2,1,1,158.783783783784,12
"13",91,"coyote",153,9,1,3,0,158.783783783784,13
"14",91,"wolf",120,9,2,2,0,158.783783783784,14
"15",91,"dog",151,9,3,1,1,158.783783783784,15
"16",91,"dog",151,10,1,2,0,158.783783783784,16
"17",91,"cat",151,10,2,1,1,158.783783783784,17
"18",91,"bluejay",202,11,1,2,0,158.783783783784,18
"19",91,"bird",107,11,2,1,1,158.783783783784,19
"20",91,"clam",162,12,1,2,0,158.783783783784,20
"21",91,"oyster",185,12,2,1,1,158.783783783784,21
"22",91,"fox",165,13,1,1,1,158.783783783784,22
"23",91,"bat",149,14,1,1,1,158.783783783784,23
"24",91,"shark",133,15,1,2,0,158.783783783784,24
"25",91,"fish",196,15,2,1,1,158.783783783784,25
"26",91,"monkey",213,16,1,1,1,158.783783783784,26
"27",91,"moth",86,17,1,1,1,158.783783783784,27
"28",91,"human",104,18,1,1,1,158.783783783784,28
"29",91,"dog",265,19,1,2,0,158.783783783784,29
"30",91,"cat",156,19,2,1,1,158.783783783784,30
"31",91,"bluejay",202,20,1,2,0,158.783783783784,31
"32",91,"bird",111,20,2,1,1,158.783783783784,32
"33",91,"cobra",155,21,1,2,0,158.783783783784,33
"34",91,"snake",143,21,2,1,1,158.783783783784,34
"35",91,"doe",170,22,1,2,0,158.783783783784,35
"36",91,"deer",142,22,2,1,1,158.783783783784,36
"37",91,"barracuda",178,23,1,1,1,158.783783783784,37
"38",87,"dog",90,1,1,2,0,165.972222222222,1
"39",87,"cat",205,1,2,1,1,165.972222222222,2
"40",87,"sheep",167,2,1,1,1,165.972222222222,3
"41",87,"worm",167,3,1,1,1,165.972222222222,4
"42",87,"dove",162,4,1,3,0,165.972222222222,5
"43",87,"bird",141,4,2,2,0,165.972222222222,6
"44",87,"eagle",220,4,3,1,1,165.972222222222,7
"45",87,"gazelle",98,5,1,1,1,165.972222222222,8
"46",87,"donkey",85,6,1,2,0,165.972222222222,9
"47",87,"horse",202,6,2,1,1,165.972222222222,10
"48",87,"beetle",124,7,1,3,0,165.972222222222,11
"49",87,"bug",77,7,2,2,0,165.972222222222,12
"50",87,"insect",132,7,3,1,1,165.972222222222,13
"51",87,"ewe",93,8,1,1,1,165.972222222222,14
"52",87,"lamb",185,9,1,2,0,165.972222222222,15
"53",87,"sheep",122,9,2,1,1,165.972222222222,16
"54",87,"hawk",270,10,1,2,0,165.972222222222,17
"55",87,"bird",209,10,2,1,1,165.972222222222,18
"56",87,"lion",180,11,1,3,0,165.972222222222,19
"57",87,"tiger",113,11,2,2,0,165.972222222222,20
"58",87,"cat",145,11,3,1,1,165.972222222222,21
"59",87,"hare",176,12,1,3,0,165.972222222222,22
"60",87,"rabbit",98,12,2,2,0,165.972222222222,23
"61",87,"bunny",203,12,3,1,1,165.972222222222,24
"62",87,"camel",176,13,1,1,1,165.972222222222,25
"63",87,"mole",178,14,1,1,1,165.972222222222,26
"64",87,"shrimp",313,15,1,1,1,165.972222222222,27
"65",87,"dog",275,16,1,1,1,165.972222222222,28
"66",87,"horse",131,17,1,1,1,165.972222222222,29
"67",87,"wasp",210,18,1,2,0,165.972222222222,30
"68",87,"bee",153,18,2,1,1,165.972222222222,31
"69",87,"dinosaur",111,19,1,1,1,165.972222222222,32
"70",87,"colt",120,20,1,1,1,165.972222222222,33
"71",87,"mink",264,21,1,1,1,165.972222222222,34
"72",87,"mouse",278,22,1,1,1,165.972222222222,35
"73",87,"cat",102,23,1,1,1,165.972222222222,36
"74",53,"dog",90,1,1,2,0,163.527777777778,1
"75",53,"cat",184,1,2,1,1,163.527777777778,2
"76",53,"coyote",200,2,1,1,1,163.527777777778,3
"77",53,"trout",89,3,1,2,0,163.527777777778,4
"78",53,"fish",111,3,2,1,1,163.527777777778,5
"79",53,"wasp",158,4,1,4,0,163.527777777778,6
"80",53,"bee",142,4,2,3,0,163.527777777778,7
"81",53,"insect",219,4,3,2,0,163.527777777778,8
"82",53,"bug",193,4,4,1,1,163.527777777778,9
"83",53,"elephant",186,5,1,1,1,163.527777777778,10
"84",53,"human",229,6,1,1,1,163.527777777778,11
"85",53,"dog",156,7,1,1,1,163.527777777778,12
"86",53,"ram",170,8,1,1,1,163.527777777778,13
"87",53,"swan",121,9,1,2,0,163.527777777778,14
"88",53,"porpoise",112,9,2,1,1,163.527777777778,15
"89",53,"aardvark",92,10,1,1,1,163.527777777778,16
"90",53,"cat",511,11,1,1,1,163.527777777778,17
"91",53,"kangaroo",149,12,1,1,1,163.527777777778,18
"92",53,"giraffe",317,13,1,1,1,163.527777777778,19
"93",53,"bison",147,14,1,2,0,163.527777777778,20
