"sid","entry","irt","fpatchnum","fpatchitem","fitemsfromend","flastitem","meanirt","catitem"
"1",114,"human",99,1,1,1,1,146.333333333333,1
"2",114,"fly",144,2,1,1,1,146.333333333333,2
"3",114,"kiwi",128,3,1,2,0,146.333333333333,3
"4",114,"bird",173,3,2,1,1,146.333333333333,4
"5",114,"dog",157,4,1,1,1,146.333333333333,5
"6",114,"fish",161,5,1,1,1,146.333333333333,6
"7",114,"robin",170,6,1,1,1,146.333333333333,7
"8",114,"fox",131,7,1,1,1,146.333333333333,8
"9",114,"kitten",268,8,1,1,1,146.333333333333,9
"10",114,"rat",104,9,1,2,0,146.333333333333,10
"11",114,"mouse",122,9,2,1,1,146.333333333333,11
"12",114,"calf",163,10,1,1,1,146.333333333333,12
"13",114,"stag",158,11,1,1,1,146.333333333333,13
"14",114,"beetle",130,12,1,1,1,146.333333333333,14
"15",114,"cat",145,13,1,1,1,146.333333333333,15
"16",114,"bird",175,14,1,1,1,146.333333333333,16
"17",114,"ant",160,15,1,1,1,146.333333333333,17
"18",114,"eagle",156,16,1,2,0,146.333333333333,18
"19",114,"hawk",134,16,2,1,1,146.333333333333,19
"20",114,"lizard",142,17,1,1,1,146.333333333333,20
"21",114,"squid",104,18,1,1,1,146.333333333333,21
"22",114,"mosquito",135,19,1,1,1,146.333333333333,22
"23",114,"hare",131,20,1,1,1,146.333333333333,23
"24",114,"raccoon",223,21,1,1,1,146.333333333333,24
"25",114,"dog",144,22,1,1,1,146.333333333333,25
"26",114,"fish",139,23,1,1,1,146.333333333333,26
"27",114,"worm",148,24,1,1,1,146.333333333333,27
"28",114,"duck",149,25,1,2,0,146.333333333333,28
"29",114,"swan",140,25,2,1,1,146.333333333333,29
"30",114,"deer",101,26,1,1,1,146.333333333333,30
"31",114,"mouse",158,27,1,1,1,146.333333333333,31
"32",114,"stag",182,28,1,1,1,146.333333333333,32
"33",114,"caterpillar",162,29,1,1,1,146.333333333333,33
"34",114,"gull",127,30,1,1,1,146.333333333333,34
"35",114,"skunk",94,31,1,1,1,146.333333333333,35
"36",114,"ape",111,32,1,1,1,146.333333333333,36
"37",85,"human",98,1,1,1,1,162.25,1
"38",85,"horse",142,2,1,1,1,162.25,2
"39",85,"fly",109,3,1,1,1,162.25,3
"40",85,"kiwi",174,4,1,2,0,162.25,4
"41",85,"bird",169,4,2,1,1,162.25,5
"42",85,"dog",197,5,1,1,1,162.25,6
"43",85,"fish",188,6,1,1,1,162.25,7
"44",85,"pigeon",185,7,1,1,1,162.25,8
"45",85,"cattle",169,8,1,1,1,162.25,9
"46",85,"tick",177,9,1,1,1,162.25,10
"47",85,"fox",164,10,1,2,0,162.25,11
"48",85,"moose",128,10,2,1,1,162.25,12
"49",85,"mongoose",155,11,1,1,1,162.25,13
"50",85,"donkey",116,12,1,1,1,162.25,14
"51",85,"toad",106,13,1,2,0,162.25,15
"52",85,"fish",139,13,2,1,1,162.25,16
"53",85,"ant",142,14,1,1,1,162.25,17
"54",85,"lion",178,15,1,1,1,162.25,18
"55",85,"chick",204,16,1,1,1,162.25,19
"56",85,"mouse",107,17,1,1,1,162.25,20
"57",85,"deer",119,18,1,3,0,162.25,21
"58",85,"beaver",147,18,2,2,0,162.25,22
"59",85,"wolf",137,18,3,1,1,162.25,23
"60",85,"ram",119,19,1,1,1,162.25,24
"61",85,"dog",207,20,1,1,1,162.25,25
"62",85,"fish",105,21,1,1,1,162.25,26
"63",85,"hare",153,22,1,1,1,162.25,27
"64",85,"rooster",156,23,1,1,1,162.25,28
"65",85,"crow",166,24,1,1,1,162.25,29
"66",85,"flea",162,25,1,1,1,162.25,30
"67",85,"mammal",181,26,1,1,1,162.25,31
"68",85,"bird",406,27,1,1,1,162.25,32
"69",85,"dog",182,28,1,1,1,162.25,33
"70",85,"fish",198,29,1,1,1,162.25,34
"71",85,"pigeon",188,30,1,1,1,162.25,35
"72",85,"cattle",168,31,1,1,1,162.25,36
"73",28,"human",98,1,1,1,1,155.972222222222,1
"74",28,"pike",158,2,1,2,0,155.972222222222,2
"75",28,"fish",172,2,2,1,1,155.972222222222,3
"76",28,"lion",213,3,1,1,1,155.972222222222,4
"77",28,"porcupine",112,4,1,1,1,155.972222222222,5
"78",28,"ant",129,5,1,1,1,155.972222222222,6
"79",28,"mongoose",116,6,1,1,1,155.972222222222,7
"80",28,"goat",90,7,1,1,1,155.972222222222,8
"81",28,"moose",111,8,1,1,1,155.972222222222,9
"82",28,"hog",104,9,1,1,1,155.972222222222,10
"83",28,"deer",141,10,1,1,1,155.972222222222,11
"84",28,"seagull",146,11,1,1,1,155.972222222222,12
"85",28,"fly",176,12,1,1,1,155.972222222222,13
"86",28,"reindeer",204,13,1,1,1,155.972222222222,14
"87",28,"calf",144,14,1,1,1,155.972222222222,15
"88",28,"cobra",219,15,1,2,0,155.972222222222,16
"89",28,"snake",171,15,2,1,1,155.972222222222,17
"90",28,"fish",217,16,1,1,1,155.972222222222,18
"91",28,"kiwi",187,17,1,1,1,155.972222222222,19
"92",28,"grasshopper",142,18,1,1,1,155.972222222222,20
"93",28,"trout",172,19,1,1,1,155.972222222222,21
"94",28,"clam",219,20,1,1,1,155.972222222222,22
"95",28,"ant",113,21,1,1,1,155.972222222222,23
"96",28,"lion",161,22,1,1,1,155.972222222222,24
"97",28,"fly",165,23,1,1,1,155.972222222222,25
"98",28,"shark",159,24,1,1,1,155.972222222222,26
"99",28,"stag",185,25,1,1,1,155.972222222222,27
"100",28,"frog",112,26,1,4,0,155.972222222222,28
"101",28,"cobra",135,26,2,3,0,155.972222222222,29
"102",28,"snake",155,26,3,2,0,155.972222222222,30
"103",28,"crocodile",305,26,4,1,1,155.972222222222,31
"104",28,"fish",107,27,1,2,0,155.972222222222,32
"105",28,"swan",94,27,2,1,1,155.972222222222,33
"106",28,"grasshopper",114,28,1,1,1,155.972222222222,34
"107",28,"sparrow",164,29,1,2,0,155.972222222222,35
"108",28,"hawk",205,29,2,1,1,155.972222222222,36
"109",33,"human",98,1,1,1,1,158.108108108108,1
"110",33,"grasshopper",146,2,1,1,1,158.108108108108,2
"111",33,"sparrow",104,3,1,2,0,158.108108108108,3
"112",33,"hawk",228,3,2,1,1,158.108108108108,4
"113",33,"mole",229,4,1,1,1,158.108108108108,5
"114",33,"chimpanzee",152,5,1,3,0,158.108108108108,6
"115",33,"gorilla",172,5,2,2,0,158.108108108108,7
"116",33,"cobra",171,5,3,1,1,158.108108108108,8
"117",33,"cobra",171,6,1,2,0,158.108108108108,9
"118",33,"snake",171,6,2,1,1,158.108108108108,10
"119",33,"buck",176,7,1,1,1,158.108108108108,11
"120",33,"calf",183,8,1,2,0,158.108108108108,12
"121",33,"rooster",106,8,2,1,1,158.108108108108,13
"122",33,"crow",158,9,1,1,1,158.108108108108,14
"123",33,"porpoise",170,10,1,1,1,158.108108108108,15
"124",33,"tuna",165,11,1,2,0,158.108108108108,16
"125",33,"fish",187,11,2,1,1,158.108108108108,17
"126",33,"bull",212,12,1,1,1,158.108108108108,18
"127",33,"lizard",126,13,1,1,1,158.108108108108,19
"128",33,"walrus",86,14,1,1,1,158.108108108108,20
"129",33,"monkey",119,15,1,1,1,158.108108108108,21
"130",33,"insect",126,16,1,2,0,158.108108108108,22
"131",33,"fly",178,16,2,1,1,158.108108108108,23
"132",33,"frog",115,17,1,1,1,158.108108108108,24
"133",33,"camel",154,18,1,1,1,158.108108108108,25
"134",33,"squid",130,19,1,1,1,158.108108108108,26
"135",33,"gorilla",269,20,1,2,0,158.108108108108,27
"136",33,"human",123,20,2,1,1,158.108108108108,28
"137",33,"chipmunk",118,21,1,1,1,158.108108108108,29
"138",33,"lizard",110,22,1,1,1,158.108108108108,30
"139",33,"canary",142,23,1,2,0,158.108108108108,31
"140",33,"bird",141,23,2,1,1,158.108108108108,32
"141",33,"dog",176,24,1,1,1,158.108108108108,33
"142",33,"crocodile",168,25,1,1,1,158.108108108108,34
"143",33,"calf",153,26,1,1,1,158.108108108108,35
"144",33,"moose",242,27,1,1,1,158.108108108108,36
"145",33,"butterfly",175,28,1,1,1,158.108108108108,37
"146",44,"human",97,1,1,1,1,159.333333333333,1
"147",44,"dove",146,2,1,1,1,159.333333333333,2
"148",44,"fly",97,3,1,1,1,159.333333333333,3
"149",44,"trout",148,4,1,1,1,159.333333333333,4
"150",44,"wasp",151,5,1,1,1,159.333333333333,5
"151",44,"cub",146,6,1,2,0,159.333333333333,6
"152",44,"bison",103,6,2,1,1,159.333333333333,7
"153",44,"bull",140,7,1,1,1,159.333333333333,8
"154",44,"fox",150,8,1,1,1,159.333333333333,9
"155",44,"pig",174,9,1,1,1,159.333333333333,10
"156",44,"ox",158,10,1,1,1,159.333333333333,11
"157",44,"squid",132,11,1,2,0,159.333333333333,12
"158",44,"fish",115,11,2,1,1,159.333333333333,13
"159",44,"calf",187,12,1,1,1,159.333333333333,14
"160",44,"canary",115,13,1,2,0,159.333333333333,15
"161",44,"bird",189,13,2,1,1,159.333333333333,16
"162",44,"dog",204,14,1,1,1,159.333333333333,17
"163",44,"fish",169,15,1,1,1,159.333333333333,18
"164",44,"pelican",175,16,1,1,1,159.333333333333,19
"165",44,"colt",127,17,1,1,1,159.333333333333,20
"166",44,"cobra",226,18,1,2,0,159.333333333333,21
"167",44,"snake",237,18,2,1,1,159.333333333333,22
"168",44,"quail",198,19,1,1,1,159.333333333333,23
"169",44,"fly",146,20,1,1,1,159.333333333333,24
"170",44,"tortoise",200,21,1,1,1,159.333333333333,25
"171",44,"slug",184,22,1,1,1,159.333333333333,26
"172",44,"caterpillar",243,23,1,2,0,159.333333333333,27
"173",44,"moth",185,23,2,1,1,159.333333333333,28
"174",44,"penguin",206,24,1,2,0,159.333333333333,29
"175",44,"dove",94,24,2,1,1,159.333333333333,30
"176",44,"grasshopper",130,25,1,1,1,159.333333333333,31
"177",44,"sparrow",137,26,1,2,0,159.333333333333,32
"178",44,"hawk",156,26,2,1,1,159.333333333333,33
"179",44,"fish",221,27,1,1,1,159.333333333333,34
"180",44,"gorilla",134,28,1,1,1,159.333333333333,35
"181",44,"canary",116,29,1,1,1,159.333333333333,36
"182",4,"human",100,1,1,1,1,158.638888888889,1
"183",4,"bear",167,2,1,2,0,158.638888888889,2
"184",4,"cub",122,2,2,1,1,158.638888888889,3
"185",4,"pelican",145,3,1,1,1,158.638888888889,4
"186",4,"hornet",174,4,1,1,1,158.638888888889,5
"187",4,"dog",69,5,1,1,1,158.638888888889,6
"188",4,"mole",147,6,1,1,1,158.638888888889,7
"189",4,"spider",136,7,1,1,1,158.638888888889,8
"190",4,"crab",267,8,1,1,1,158.638888888889,9
"191",4,"crocodile",191,9,1,1,1,158.638888888889,10
"192",4,"tuna",118,10,1,2,0,158.638888888889,11
"193",4,"fish",157,10,2,1,1,158.638888888889,12
"194",4,"turkey",217,11,1,1,1,158.638888888889,13
"195",4,"gorilla",115,12,1,2,0,158.638888888889,14
"196",4,"chimpanzee",123,12,2,1,1,158.638888888889,15
"197",4,"frog",174,13,1,1,1,158.638888888889,16
"198",4,"kiwi",147,14,1,1,1,158.638888888889,17
"199",4,"beaver",129,15,1,1,1,158.638888888889,18
"200",4,"lizard",118,16,1,1,1,158.638888888889,19
"201",4,"canary",137,17,1,2,0,158.638888888889,20
"202",4,"bird",200,17,2,1,1,158.638888888889,21
"203",4,"cougar",180,18,1,1,1,158.638888888889,22
"204",4,"moth",176,19,1,1,1,158.638888888889,23
"205",4,"gazelle",144,20,1,1,1,158.638888888889,24
"206",4,"calf",146,21,1,1,1,158.638888888889,25
"207",4,"moose",208,22,1,1,1,158.638888888889,26
"208",4,"octopus",182,23,1,3,0,158.638888888889,27
"209",4,"swan",146,23,2,2,0,158.638888888889,28
"210",4,"goose",134,23,3,1,1,158.638888888889,29
"211",4,"sheep",160,24,1,1,1,158.638888888889,30
